thumb;index;middle;ring;pinkie;wrist
74;101;1387;1284;127;1499
77;98;1398;1297;128;1486
73;75;1396;1300;129;1491
69;42;1392;1268;129;1498
71;18;1395;1262;127;1501
70;0;1423;1235;123;1506
72;0;1489;1241;128;1507
67;0;1507;1238;125;1503
71;14;1493;1245;126;1493
69;48;1482;1253;127;1490
67;87;1467;1263;126;1491
70;112;1456;1278;128;1483
71;119;1456;1295;130;1487
71;119;1456;1285;128;1486
