thumb;index;middle;ring;pinkie;wrist
59;98;1369;1277;122;1501
53;102;1366;1278;128;1502
54;106;1367;1271;123;1496
43;102;1371;1276;119;1509
14;98;1376;1282;124;1517
0;101;1386;1277;125;1515
0;107;1374;1227;130;1519
0;104;1386;1239;121;1518
1;106;1394;1245;123;1520
9;106;1379;1245;125;1527
45;111;1391;1268;126;1535
71;109;1409;1295;127;1535
76;112;1445;1313;129;1530
