thumb;index;middle;ring;pinkie;wrist
51;109;1437;1169;115;1521
57;110;1441;1136;116;1521
59;107;1433;941;123;1529
58;111;1429;743;119;1527
59;109;1411;596;123;1535
57;110;1374;511;123;1547
54;108;1332;421;113;1545
55;101;1329;423;124;1547
57;102;1348;433;116;1542
55;101;1337;502;118;1551
64;107;1346;731;128;1550
57;103;1391;1014;126;1546
55;106;1488;1349;129;1535
58;103;1549;1579;123;1535
58;111;1533;1564;128;1535
