
8.54,-1.81,-6.65,-0.02,-0.07,-0.01,800,868,919,915,908,1013
8.75,-1.81,-6.59,-0.07,-0.08,-0.02,812,868,914,912,938,1015
8.65,-1.73,-6.44,-0.06,-0.12,-0.04,825,885,914,916,954,1015
8.49,-2.02,-6.83,0.05,-0.13,-0.12,800,877,914,919,938,1015
8.46,-1.97,-6.76,-0.13,-0.01,-0.16,825,859,914,918,923,1015
8.82,-1.81,-6.74,-0.09,0.09,-0.23,800,868,916,923,923,1016
9.08,-1.82,-6.84,-0.21,0.07,-0.35,800,868,915,923,1000,1016
9.97,-1.96,-7.11,-0.26,0.06,-0.68,812,842,915,923,954,1019
9.96,-1.69,-7.43,-0.49,0.01,-1.16,812,833,896,893,923,1014
10.25,-0.96,-7.88,-0.87,0.03,-1.10,812,833,879,865,931,1019
10.87,0.12,-7.68,-1.03,0.46,-1.49,825,815,852,833,778,1017
10.73,1.00,-8.39,-1.04,-0.15,-1.64,800,789,831,804,870,1014
10.95,1.81,-8.46,-1.49,0.16,-2.14,800,789,823,784,854,1012
10.77,3.48,-7.32,-1.74,0.18,-2.45,812,798,819,766,854,1013
10.22,4.50,-6.87,-1.97,-0.11,-3.04,800,780,816,744,839,1010
7.96,5.60,-5.34,-1.98,-0.04,-3.27,787,789,816,736,816,1013
7.70,6.59,-4.34,-2.11,0.20,-3.31,800,763,819,740,832,1019
6.66,6.71,-3.53,-1.82,0.31,-3.53,887,754,838,767,824,1019
5.83,7.57,-2.01,-1.60,0.52,-3.43,787,780,864,792,847,1025
4.90,7.49,-2.14,-1.33,0.51,-3.76,800,815,886,841,862,1029
3.73,7.72,-0.55,-1.06,0.77,-3.68,787,859,904,868,877,1031
2.16,6.58,-1.45,-0.37,0.51,-3.88,662,833,932,906,908,1032
-0.30,6.39,-0.82,-0.14,0.90,-3.90,787,833,956,934,908,1033
-3.73,5.84,-1.35,0.15,0.70,-3.10,775,850,965,949,916,1027
-5.28,5.21,-1.98,0.28,0.86,-1.90,737,859,960,947,877,1017
-6.73,5.06,-2.51,0.35,0.85,-0.81,687,877,965,952,893,1016
-5.80,5.45,-3.79,0.40,0.51,0.25,737,868,969,952,778,1013
-3.81,7.64,-4.25,-0.09,0.63,0.56,737,859,962,943,893,1012
-2.43,8.60,-3.64,-0.18,0.37,0.80,750,859,967,952,900,1016
-2.29,9.21,-3.04,-0.02,0.02,1.10,600,868,972,953,893,1015
-1.91,8.69,-3.48,0.13,-0.26,0.97,750,859,958,950,893,1011
-5.06,8.31,-3.22,0.22,-0.60,1.50,737,859,965,947,893,1014
-4.73,6.58,-3.59,0.64,-0.92,2.23,762,885,966,946,877,1012
-3.98,6.83,-4.23,0.54,-1.24,3.02,662,912,972,951,908,1013
0.36,6.84,-4.17,0.65,-1.62,3.47,737,903,960,942,885,1004
4.03,6.84,-4.88,0.66,-1.24,2.80,787,912,969,947,900,1003
7.12,9.57,-4.08,0.25,-0.55,1.90,800,921,974,947,908,1006
8.27,8.91,-4.47,0.33,-0.07,1.76,812,929,976,946,977,1001
9.25,9.96,-4.66,0.37,-0.35,0.97,800,938,977,946,931,999
7.30,8.90,-4.52,0.31,-0.24,0.22,800,903,979,946,923,996
4.91,8.44,-4.70,0.24,-0.06,-0.07,775,947,976,943,923,995
4.03,7.29,-4.58,0.42,-0.07,0.01,812,921,970,932,1015,995
4.13,6.98,-4.64,0.42,0.21,0.03,800,894,946,918,908,995
3.89,6.43,-4.25,0.61,0.23,0.23,800,885,923,894,893,995
4.26,5.98,-4.24,0.74,0.45,0.38,800,833,875,846,893,996
3.47,6.13,-4.18,0.98,0.36,0.51,812,833,856,823,870,998
3.70,5.95,-4.46,0.96,0.54,1.03,800,789,835,783,877,997
4.25,5.27,-4.94,1.10,0.69,1.09,800,754,795,725,816,997
5.83,5.64,-5.04,1.02,1.07,1.43,762,763,786,706,786,995
6.62,5.70,-5.92,1.24,0.93,1.25,775,754,760,671,748,993
7.19,6.21,-6.77,1.16,1.05,1.01,800,736,760,673,763,997
7.83,5.81,-7.31,1.39,0.74,1.00,787,736,767,685,748,992
7.45,5.55,-8.36,1.26,0.11,0.69,737,728,774,691,755,992
7.84,4.48,-8.28,0.93,-0.05,0.80,712,719,780,692,755,989
7.86,3.89,-7.92,0.58,0.11,0.99,800,745,792,699,763,989
8.59,2.72,-7.01,0.37,0.29,1.16,762,719,794,714,778,994
9.36,2.38,-6.80,0.25,0.24,1.06,800,728,805,726,793,996
11.19,2.22,-6.94,0.04,0.56,0.34,787,763,816,750,801,997
11.13,3.89,-6.73,-0.17,0.44,-0.12,762,745,828,795,816,1000
8.39,4.12,-7.28,0.22,-0.55,0.22,800,736,837,817,832,997
8.01,2.20,-6.67,-0.09,-0.77,0.41,800,710,837,823,854,994
8.16,1.51,-6.28,-0.12,-0.41,0.14,862,719,840,828,854,984
8.22,2.31,-7.17,-0.12,-0.24,0.19,762,710,851,852,854,977
9.17,2.36,-6.84,-0.03,-0.37,0.31,800,728,871,877,870,971
8.36,1.65,-7.06,0.02,-0.47,0.22,800,745,884,899,877,969
7.97,1.65,-7.11,-0.14,-0.27,0.15,787,754,894,911,877,965
8.24,1.58,-7.37,-0.19,-0.09,0.11,737,763,897,914,862,963
8.29,1.71,-6.99,-0.19,-0.02,-0.01,800,745,895,912,893,964
8.16,1.92,-6.74,-0.11,-0.03,0.00,800,745,894,911,862,964
8.20,1.75,-6.95,-0.11,-0.03,-0.03,762,736,898,911,893,957
8.33,1.83,-6.70,-0.13,0.06,-0.02,800,736,893,907,900,963
8.20,1.96,-6.93,-0.07,0.05,-0.05,800,736,893,902,893,962
8.14,1.92,-6.76,-0.08,0.13,-0.03,787,736,892,899,893,965
8.29,2.04,-6.65,-0.07,0.16,-0.01,737,710,893,895,877,965
8.30,2.01,-6.69,-0.05,0.08,-0.02,800,728,889,892,877,963
8.43,1.98,-6.38,-0.05,0.09,-0.03,787,719,883,890,877,965
8.45,2.07,-6.57,0.05,0.04,-0.07,800,728,884,890,862,965
8.45,1.96,-6.52,0.04,0.08,-0.03,775,710,888,890,893,965
8.37,1.93,-6.56,0.03,0.03,-0.03,800,710,885,890,870,966
8.36,1.97,-6.56,-0.06,0.00,-0.02,800,710,886,891,854,965
8.47,2.03,-6.64,-0.06,-0.10,-0.00,800,719,887,893,877,965
