
8.55,0.24,-6.75,-0.00,-0.15,0.05,800,745,823,840,862,1007
8.50,0.17,-7.07,-0.02,-0.12,0.04,800,745,816,844,862,1013
8.49,0.17,-6.99,-0.02,-0.16,-0.01,800,719,809,845,862,1013
8.25,-0.01,-6.74,0.02,-0.15,-0.00,800,736,818,846,893,1014
8.45,0.08,-6.98,0.04,-0.12,-0.02,800,710,819,843,854,1014
8.14,0.02,-7.19,0.03,-0.14,-0.04,787,754,819,847,870,1015
8.33,0.02,-7.22,-0.02,-0.12,-0.07,800,728,823,845,854,1013
8.33,0.07,-7.24,-0.08,-0.02,-0.05,800,719,818,845,854,1014
9.20,0.08,-7.24,-0.13,-0.01,-0.19,787,710,816,838,870,1007
9.98,0.04,-7.62,-0.20,-0.09,-0.44,787,710,813,837,854,1004
10.69,-0.41,-7.55,-0.07,-0.44,-0.69,800,701,821,831,854,1009
11.64,-0.51,-9.17,-0.01,-0.29,-1.08,787,701,812,802,847,1003
11.55,0.54,-9.23,-0.41,-0.06,-1.82,800,701,801,772,832,1010
9.61,1.77,-8.83,-0.71,-0.59,-2.41,787,692,753,696,732,1000
6.31,3.34,-8.95,-0.84,-0.93,-2.22,800,701,726,651,709,1012
4.46,4.64,-9.79,-1.18,-1.06,-1.75,800,710,718,634,732,1013
4.70,5.55,-10.04,-1.57,-1.13,-1.52,775,701,707,626,648,1004
5.08,6.10,-9.51,-2.09,-1.48,-1.36,787,701,712,635,694,1014
5.43,5.73,-8.17,-2.41,-2.01,-1.17,787,710,726,654,717,1013
5.35,5.69,-6.94,-2.56,-2.24,-0.91,825,736,768,714,770,1019
4.75,6.01,-5.43,-2.62,-2.36,-0.97,800,763,825,809,847,1010
3.14,7.07,-4.30,-2.18,-2.76,-0.76,800,824,867,900,908,1014
2.17,6.07,-3.91,-1.86,-2.85,-0.33,800,859,903,948,954,1013
1.33,7.19,-3.93,-1.93,-2.13,-0.36,837,877,914,961,946,1012
-0.37,7.12,-2.84,-1.68,-1.75,-0.15,862,859,918,969,969,1013
-0.31,7.83,-3.05,-1.16,-1.39,-0.24,825,859,916,966,961,1007
0.45,8.23,-4.51,-1.09,-0.60,-0.06,862,850,916,948,969,1013
0.64,9.78,-6.26,-2.09,0.37,-0.72,862,754,783,726,801,1016
3.51,8.53,-3.58,-2.22,0.00,-0.66,812,614,635,523,587,1012
1.01,5.91,1.72,-1.07,-1.62,-0.98,800,377,446,467,572,1026
-0.83,9.63,-0.23,-0.90,-1.11,-0.60,812,298,411,435,549,1022
0.31,8.56,0.95,-0.62,-0.71,-0.44,800,438,513,504,603,1027
-1.92,10.66,4.09,0.70,0.38,-0.15,812,815,867,705,725,1031
-0.06,9.62,-2.99,0.88,-0.27,1.70,800,850,893,799,839,1019
3.07,9.81,-2.63,-0.20,0.05,0.63,800,859,918,868,870,1018
0.04,10.11,-0.70,-0.44,-0.20,-0.79,812,868,929,870,877,1019
0.06,12.91,-3.93,-1.46,0.94,-0.29,800,850,867,733,832,1027
0.73,0.63,6.39,0.14,-2.84,-0.53,762,552,566,611,702,1027
-2.16,14.51,1.33,-1.78,1.46,-0.39,800,377,452,499,587,1031
-1.78,9.98,0.89,0.62,0.08,0.55,800,342,436,485,595,1029
2.36,7.83,0.49,0.54,1.08,0.29,800,421,469,513,618,1032
1.38,8.18,1.14,1.21,1.36,0.13,787,535,541,563,656,1034
-0.26,7.30,1.46,2.05,1.72,1.43,800,666,679,662,709,1034
2.95,5.12,-0.79,2.61,2.48,1.64,800,807,838,754,709,1033
1.14,7.14,-2.25,2.77,2.89,1.23,825,850,905,790,824,1033
2.61,6.12,-3.39,3.25,2.50,2.33,812,885,908,823,854,1030
5.33,5.79,-6.62,2.97,2.32,1.34,812,885,916,857,854,1006
5.37,6.57,-8.10,2.73,2.17,0.57,800,868,924,873,854,995
3.49,6.32,-7.19,2.80,1.46,0.54,787,833,921,874,862,993
4.19,7.30,-9.64,2.29,1.26,0.56,775,815,893,837,862,987
5.24,6.49,-9.11,1.94,1.05,-0.05,712,815,864,804,832,975
3.55,7.74,-8.58,1.35,0.17,0.95,687,798,830,742,854,963
6.91,2.98,-8.67,2.14,-0.15,1.19,662,789,829,736,832,942
4.85,5.68,-9.87,1.32,0.21,1.95,787,798,830,761,847,936
8.83,2.75,-9.00,1.06,0.82,2.38,775,807,851,808,854,948
8.50,2.08,-8.74,1.27,1.07,1.96,800,798,863,830,839,955
11.71,-0.28,-8.15,0.77,0.42,0.37,812,780,864,836,877,971
11.62,0.33,-12.45,-0.31,1.89,-0.63,812,763,838,843,893,975
8.24,2.76,-8.88,-0.83,0.62,-0.31,800,745,842,835,862,974
8.67,1.64,-5.37,-0.59,-0.09,0.16,812,754,847,839,877,974
7.64,2.17,-6.34,0.17,0.05,-0.09,812,763,854,841,862,975
8.11,1.99,-7.11,-0.00,0.05,0.14,800,736,853,840,862,975
8.95,1.55,-6.86,-0.09,0.15,-0.01,787,745,853,828,854,973
8.39,2.04,-6.93,-0.07,0.05,-0.01,800,763,851,829,870,974
8.20,1.81,-6.46,-0.11,-0.05,0.03,800,728,853,829,862,973
8.16,1.86,-6.60,-0.09,0.03,0.06,800,754,853,826,877,973
8.54,2.01,-6.94,-0.16,-0.10,0.02,787,754,857,824,862,969
8.41,1.76,-6.55,-0.12,-0.06,0.05,800,745,857,819,877,968
8.20,1.83,-6.61,-0.12,-0.07,0.02,800,745,856,823,854,965
8.36,1.86,-6.69,-0.12,-0.03,0.01,800,815,854,820,854,965
8.44,1.89,-6.59,-0.02,0.07,0.03,800,754,856,813,870,965
8.60,1.82,-6.40,0.01,0.01,-0.03,812,736,856,808,854,964
8.45,1.84,-6.50,-0.02,0.02,-0.03,800,780,858,809,862,961
8.52,1.96,-6.61,-0.03,0.08,-0.02,800,736,854,810,862,963
8.37,1.90,-6.55,-0.03,0.03,-0.05,800,745,856,809,854,965
8.31,1.87,-6.52,0.01,-0.02,-0.03,787,728,852,805,900,963
8.47,1.92,-6.44,-0.02,0.03,-0.02,800,754,853,806,854,964
8.62,1.82,-6.41,0.06,-0.06,-0.05,800,745,853,802,854,965
8.54,1.79,-6.49,0.06,0.00,-0.02,800,728,853,794,854,965
8.55,1.82,-6.35,0.05,-0.02,-0.04,800,754,851,793,862,966
8.48,1.83,-6.56,-0.03,-0.05,-0.02,800,728,852,798,862,965
