thumb;index;middle;ring;pinkie;wrist
61;112;1471;1304;108;1503
55;111;1461;1297;112;1498
55;112;1476;1280;93;1501
62;112;1472;1227;73;1502
61;111;1456;1171;66;1493
59;109;1449;1165;48;1494
63;111;1430;1169;48;1499
53;110;1434;1217;48;1507
54;110;1436;1247;49;1499
55;112;1442;1279;48;1520
55;110;1440;1223;67;1515
58;112;1438;1171;97;1515
58;111;1460;1231;119;1514
61;111;1485;1309;130;1515
