-5.24,6.22,-6.25,-0.09,-0.13,-0.01,862,885,928,911,977,942
-5.75,6.41,-6.57,-0.14,-0.32,0.06,875,894,919,909,977,942
-5.76,6.18,-6.70,-0.11,0.01,0.14,912,885,921,911,984,940
-4.95,5.84,-6.72,-0.03,0.26,0.12,862,903,921,911,977,939
-4.49,5.79,-6.49,-0.05,0.03,-0.11,875,938,921,911,969,941
-4.52,6.00,-6.31,0.06,0.33,-0.18,925,850,916,905,954,939
-4.87,6.14,-6.51,0.11,0.27,-0.37,862,903,902,893,984,941
-5.37,5.63,-6.53,-0.08,0.13,-0.04,887,850,839,838,954,946
-5.71,6.45,-6.78,-0.26,0.38,0.12,925,815,789,776,923,945
-6.08,6.39,-5.91,-0.45,-0.37,0.31,912,745,728,706,908,951
-5.34,6.50,-6.48,-0.61,-0.47,0.73,887,701,672,651,854,954
-4.83,7.37,-5.45,-0.91,-1.36,0.40,925,649,607,593,839,955
-4.83,6.62,-4.57,-0.49,-1.42,0.07,912,552,545,538,709,946
-5.16,6.79,-5.38,-0.16,-0.28,-0.09,912,447,495,493,625,955
-5.17,7.10,-4.96,0.08,-0.05,-0.30,900,377,457,452,480,958
-5.53,5.93,-5.11,0.23,-0.28,-0.73,825,298,434,425,580,963
-5.68,6.45,-5.80,0.08,-0.09,-0.43,862,236,399,392,480,963
-6.53,6.50,-5.50,-0.32,-0.82,-0.69,887,140,355,349,396,965
-6.63,6.78,-4.86,-0.34,-0.78,-0.59,862,96,327,320,328,968
-6.27,5.79,-3.86,-0.49,-1.19,-0.81,850,0,299,297,267,974
-6.36,6.76,-4.34,-0.12,0.13,0.17,875,0,277,277,221,975
-7.62,5.59,-3.56,0.31,-0.51,-0.50,837,0,260,264,175,980
-7.51,6.72,-3.87,0.30,-0.09,0.14,800,0,258,255,160,978
-6.69,6.14,-5.30,0.47,1.09,0.04,737,0,267,266,251,977
-5.31,6.83,-3.48,0.67,-1.09,-1.75,612,0,270,268,297,978
-7.14,4.12,-4.75,1.04,0.63,-2.02,587,0,274,275,274,977
-6.36,3.44,-3.65,1.42,-0.94,-3.12,537,0,269,275,290,968
-6.50,3.06,-4.98,1.10,1.04,-1.96,500,0,270,278,381,965
-7.82,1.36,-5.32,1.37,0.40,-2.60,512,0,271,278,312,954
-8.50,0.83,-6.46,1.04,0.08,-2.10,462,0,269,284,320,940
-8.15,0.37,-7.17,1.30,-1.18,-3.35,425,0,272,285,328,904
-8.25,-0.46,-5.52,0.42,-0.31,-1.71,487,0,269,286,305,878
-8.48,-2.13,-5.85,0.85,-0.31,-3.28,525,0,273,293,351,839
-8.85,-3.40,-4.74,0.92,-0.84,-2.08,537,0,276,296,335,820
-7.96,-4.05,-4.44,1.12,-0.57,-2.30,537,8,268,302,290,794
-8.32,-5.40,-5.10,1.05,-0.08,-2.00,562,26,279,305,351,772
-6.87,-5.20,-4.69,0.88,-0.25,-1.53,587,17,280,313,351,759
-7.27,-6.19,-4.56,0.40,-0.04,-1.73,600,26,283,316,358,750
-6.64,-6.53,-3.94,0.45,-0.31,-1.24,612,35,287,317,358,742
-6.14,-6.62,-4.06,0.29,-0.14,-0.79,612,61,286,317,358,736
-6.18,-6.69,-3.79,0.12,-0.18,-0.48,625,52,288,326,358,734
-5.99,-6.41,-3.75,-0.04,-0.08,-0.34,637,52,292,323,358,733
-5.76,-6.75,-3.65,-0.08,0.09,-0.27,662,61,291,326,366,733
-6.54,-7.08,-3.51,0.18,-0.20,0.01,662,78,294,326,366,735
-5.51,-6.69,-3.49,-0.09,0.03,-0.10,637,61,290,332,366,737
-6.52,-7.16,-3.55,0.05,0.02,-0.05,650,96,292,330,374,737
-6.52,-7.18,-3.68,-0.06,-0.10,0.42,637,87,291,332,366,743
-7.31,-7.39,-3.97,-0.08,-0.16,0.63,650,105,294,333,366,749
-6.79,-6.93,-3.99,-0.19,-0.21,1.22,612,105,301,331,366,758
-9.51,-7.04,-3.73,-0.27,-1.21,2.77,625,87,301,334,366,777
-5.53,-4.58,-2.35,0.03,-1.13,2.18,612,96,301,333,366,789
-9.39,-4.74,-3.27,-0.52,-0.49,2.80,625,87,308,326,374,809
-8.66,-3.86,-2.71,-0.44,-1.60,4.56,650,70,313,325,366,835
-7.23,-1.46,-1.27,-0.37,-1.81,3.42,712,52,313,332,366,843
-9.34,-1.07,-1.76,-0.27,0.21,2.26,662,52,313,336,358,848
-10.29,0.09,-2.13,-0.68,0.36,3.54,737,122,325,348,374,855
-8.22,2.18,-1.92,-0.51,0.41,2.29,737,78,356,378,435,856
-8.09,3.27,-1.97,-0.66,1.52,2.01,725,236,415,399,496,857
-7.62,4.30,-2.29,-0.64,0.39,-0.09,800,377,505,448,541,852
-9.53,2.68,-2.20,-0.55,0.91,0.53,775,508,658,571,610,842
-7.29,3.55,-1.94,-0.45,1.04,1.37,787,649,790,695,694,823
-8.01,3.58,-2.79,0.12,0.67,-0.44,800,745,883,808,839,800
-7.99,3.78,-2.91,-0.07,0.83,0.24,837,798,937,881,969,792
-8.38,4.03,-4.15,0.42,0.62,-1.03,800,850,972,912,885,779
-8.27,3.69,-4.13,-0.07,0.97,0.34,812,921,993,947,954,781
-8.06,3.16,-4.39,0.28,0.82,-0.35,837,947,1004,975,938,783
-8.04,3.52,-4.74,0.12,1.12,0.01,1000,982,1009,980,969,793
-8.31,3.27,-4.98,0.06,1.03,0.15,837,973,1011,980,984,799
-8.40,3.43,-5.12,-0.14,1.14,0.59,837,964,1002,971,954,810
-7.64,3.37,-5.43,0.12,0.41,0.10,837,964,1002,965,954,812
